name,league,club,age,position,goals,assists,shots,minutes,yellow_cards,red_cards
Erling Haaland,Premier League,Manchester City,22,ST,36,8,95,2800,3,0
Kylian Mbappé,Ligue 1,PSG,24,ST,29,7,88,2700,2,0
Harry Kane,Bundesliga,Bayern Munich,29,ST,30,5,85,2650,1,0
Robert Lewandowski,La Liga,Barcelona,34,ST,23,6,77,2500,4,0
Victor Osimhen,Serie A,Napoli,24,ST,26,4,80,2600,2,1
Lionel Messi,Ligue 1,PSG,35,RW,16,16,60,2400,1,0
Mohamed Salah,Premier League,Liverpool,30,RW,19,10,75,2550,1,0
Karim Benzema,La Liga,Real Madrid,35,ST,18,3,66,2450,2,0
Lautaro Martínez,Serie A,Inter Milan,25,ST,21,5,72,2500,3,0
Marcus Rashford,Premier League,Manchester United,25,LW,17,7,70,2580,2,0
